machine,task_num,link_num,recommend
3,95,390,TA
3,100,466,TA
2,96,408,TA
4,94,385,GA
1,98,404,TA
1,95,427,TA
4,81,328,TA
4,92,400,TA
4,93,412,TA
1,85,322,TA
2,93,394,GA
3,86,400,TA
3,80,307,TA
4,82,371,TA
5,92,429,GA
3,90,373,GA
1,92,369,TA
3,92,369,TA
2,92,410,GA
3,97,446,TA
3,94,349,TA
3,88,383,TA
3,94,448,GA
1,94,427,TA
1,85,375,TA
1,94,392,TA
3,87,394,TA
2,90,402,GA
5,92,399,TA
4,93,416,GA
1,87,348,TA
3,90,331,GA
3,85,372,TA
1,98,382,TA
2,94,331,TA
2,90,472,GA
3,95,402,GA
2,85,336,GA
2,100,415,GA
3,97,459,GA
2,96,379,TA
1,91,408,TA
5,97,469,TA
4,99,411,TA
3,84,352,GA
3,98,400,TA
3,87,364,TA
4,85,392,TA
2,95,428,TA
3,80,334,TA
1,91,428,TA
4,87,393,TA
2,98,400,GA
1,94,381,TA
3,94,370,GA
5,100,446,TA
5,91,426,TA
5,86,384,TA
3,80,328,TA
5,87,294,TA
2,91,413,GA
4,94,420,TA
4,89,345,TA
4,81,378,TA
4,89,379,TA
4,82,319,TA
3,94,333,TA
5,81,368,GA
4,99,354,TA
1,86,369,TA
4,88,361,TA
4,81,296,TA
4,81,384,TA
4,90,344,TA
1,92,379,TA
2,90,382,GA
3,96,383,TA
3,83,339,TA
2,88,406,TA
2,90,350,TA
5,83,333,TA
3,84,373,GA
3,88,317,GA
5,96,443,GA
4,89,401,TA
1,100,436,TA
3,81,382,GA
4,80,357,TA
1,82,353,TA
4,83,346,GA
3,99,441,TA
1,94,410,TA
1,88,401,TA
1,82,340,TA
4,85,313,TA
3,87,390,TA
1,92,421,TA
4,100,411,GA
4,99,426,GA
2,96,410,TA
4,98,414,TA
4,92,400,TA
1,96,375,TA
5,82,390,TA
3,83,354,TA
5,81,349,GA
4,98,391,TA
2,85,355,TA
3,95,421,TA
4,83,318,TA
2,92,385,GA
4,87,330,TA
5,98,421,TA
3,94,412,TA
4,87,360,TA
3,88,405,TA
4,88,362,TA
2,89,365,GA
2,82,336,GA
3,96,348,TA
2,93,372,GA
4,86,332,TA
4,95,437,TA
3,94,428,TA
2,83,360,TA
2,96,388,TA
4,89,365,TA
2,81,352,GA
1,98,400,TA
1,87,378,TA
3,87,385,GA
5,89,339,TA
2,96,435,TA
1,80,379,TA
2,99,422,GA
3,83,370,TA
2,98,424,GA
1,81,374,TA
2,94,377,GA
1,99,391,TA
2,87,349,TA
3,87,342,GA
4,81,311,TA
1,82,351,TA
4,85,361,GA
3,90,430,TA
4,91,354,TA
2,88,440,TA
2,100,423,GA
3,87,313,TA
1,84,350,TA
1,92,443,TA
3,91,427,TA
2,88,376,GA
2,82,372,GA
3,83,348,GA
2,91,394,TA
4,86,364,TA
4,82,354,TA
1,92,449,TA
4,96,423,TA
1,87,341,TA
1,81,325,TA
5,90,408,TA
4,90,404,TA
2,90,380,GA
1,98,418,TA
4,86,379,GA
3,97,414,TA
2,99,434,GA
4,97,409,TA
4,95,358,TA
3,92,373,TA
4,83,358,TA
5,90,370,TA
1,92,395,TA
4,85,387,GA
2,97,398,GA
1,95,428,TA
4,94,402,TA
5,87,396,TA
4,99,412,TA
1,100,436,TA
5,98,452,TA
5,100,421,TA
1,96,422,TA
4,83,371,GA
5,95,442,TA
5,82,364,TA
4,99,401,TA
1,91,336,TA
5,86,397,TA
2,81,330,GA
5,82,332,GA
3,92,340,TA
1,95,374,TA
3,92,387,TA
2,99,407,TA
1,81,345,TA
5,86,352,TA
3,100,383,TA
1,85,340,TA
5,91,374,TA
3,88,410,TA
4,89,400,TA
2,89,384,TA
2,85,367,TA
3,98,400,TA
5,93,417,TA
2,86,365,GA
4,86,321,TA
5,88,368,TA
4,96,413,GA
2,94,398,GA
3,89,376,TA
4,80,384,TA
2,88,419,GA
5,85,360,TA
4,81,331,TA
2,96,434,GA
4,89,342,TA
5,87,334,TA
3,81,327,TA
2,91,411,TA
2,100,465,GA
3,90,357,TA
5,93,396,TA
3,92,413,TA
1,82,354,TA
3,98,412,GA
2,83,330,GA
2,99,429,TA
2,96,377,TA
4,80,337,TA
2,85,401,GA
5,84,322,GA
5,85,381,TA
5,90,372,TA
4,93,401,TA
3,92,399,GA
2,91,378,GA
2,100,447,TA
2,86,357,TA
3,95,405,TA
5,80,325,TA
5,98,437,TA
3,90,364,GA
3,95,369,TA
2,83,369,TA
1,93,430,TA
1,85,405,TA
5,83,323,TA
3,91,386,TA
3,94,329,TA
4,95,439,TA
4,82,329,TA
3,80,331,TA
4,81,339,TA
2,92,428,GA
3,82,351,TA
4,89,322,TA
3,89,399,GA
5,83,367,TA
4,100,408,TA
3,98,432,TA
4,99,417,TA
3,99,472,TA
4,92,412,TA
1,97,395,TA
5,83,351,TA
3,90,413,TA
3,87,316,TA
1,100,473,TA
2,97,426,TA
3,96,398,TA
4,80,304,TA
4,89,405,TA
1,87,364,TA
3,83,369,GA
5,93,323,TA
3,96,411,GA
2,86,352,TA
1,88,334,TA
5,86,360,TA
5,94,437,TA
3,97,448,TA
4,95,452,TA
4,86,353,GA
4,91,398,TA
1,93,400,TA
4,80,295,TA
5,99,392,TA
5,99,375,TA
3,97,424,GA
1,80,307,TA
1,88,396,TA
1,90,358,TA
2,85,383,TA
1,96,446,TA
4,84,365,TA
4,100,448,TA
2,91,413,GA
4,100,414,TA
5,89,409,TA
1,91,337,TA
3,95,408,TA
5,93,421,TA
4,98,406,TA
5,83,334,TA
5,89,377,GA
5,98,418,TA
2,98,473,TA
3,89,400,GA
1,99,394,TA
2,94,407,GA
1,99,421,TA
4,80,344,TA
4,83,395,TA
1,84,383,TA
2,96,406,TA
5,90,355,TA
5,94,366,TA
5,84,379,TA
1,89,386,TA
3,98,373,GA
2,90,415,TA
4,94,396,TA
5,98,378,TA
3,85,378,TA
2,85,403,GA
4,87,387,TA
1,91,365,TA
3,94,400,TA
4,100,440,GA
5,81,343,TA
1,82,331,TA
2,80,347,TA
3,97,491,TA
3,93,415,TA
2,90,334,TA
1,81,345,TA
1,92,415,TA
3,83,343,TA
5,96,384,TA
2,81,345,GA
3,90,390,TA
5,96,418,TA
2,86,354,TA
1,97,402,TA
1,95,377,TA
4,85,354,GA
1,100,390,TA
2,91,359,TA
4,85,359,GA
4,93,368,TA
4,95,492,GA
5,95,395,TA
4,95,443,TA
3,84,360,GA
4,100,458,TA
2,93,391,GA
5,95,400,TA
4,83,384,GA
5,93,423,TA
3,98,368,TA
5,93,403,TA
3,83,331,TA
4,95,405,TA
3,91,427,TA
2,87,366,GA
5,83,339,GA
4,97,426,TA
1,87,366,TA
3,82,385,TA
2,99,416,TA
4,80,378,TA
5,100,428,TA
2,85,383,TA
4,92,368,GA
1,96,394,TA
2,89,446,GA
2,96,397,GA
5,84,387,TA
4,98,379,TA
5,94,428,TA
1,85,345,TA
4,96,387,TA
4,97,417,TA
5,82,325,TA
3,93,437,TA
1,88,357,TA
4,83,339,TA
5,80,344,TA
1,80,362,TA
2,80,292,GA
5,93,379,TA
5,86,335,TA
2,90,393,GA
4,98,366,TA
5,94,378,TA
1,92,441,TA
3,80,338,TA
4,88,350,TA
2,83,347,GA
1,81,304,TA
2,95,374,TA
1,95,421,TA
4,86,392,TA
1,87,448,TA
4,91,381,TA
4,91,355,TA
4,86,377,TA
1,87,354,TA
3,92,367,TA
5,90,437,TA
3,100,441,TA
3,88,384,TA
5,83,416,TA
4,87,374,GA
3,95,385,GA
5,93,411,TA
4,89,388,TA
2,99,400,GA
2,89,419,GA
1,80,344,TA
5,83,382,TA
5,85,328,TA
3,93,405,GA
5,89,396,TA
2,94,413,TA
2,82,308,GA
3,100,429,TA
3,82,346,TA
5,89,364,TA
3,84,348,GA
5,86,333,TA
1,89,341,TA
1,83,323,TA
2,80,329,TA
3,98,384,TA
3,91,381,GA
5,97,401,TA
5,86,378,TA
1,94,407,TA
4,91,353,TA
3,84,397,TA
4,94,373,TA
3,83,344,TA
1,92,431,TA
1,94,378,TA
2,82,362,GA
2,97,426,GA
1,82,358,TA
2,87,398,GA
5,88,382,TA
5,80,297,TA
3,84,329,TA
2,91,468,GA
1,94,421,TA
3,97,375,TA
3,84,396,TA
5,91,397,TA
3,88,400,TA
5,84,362,TA
4,93,387,TA
4,100,412,TA
1,90,314,TA
2,83,383,TA
5,97,446,TA
2,91,401,GA
3,99,431,TA
2,80,325,TA
3,82,366,GA
1,85,396,TA
3,84,353,TA
3,87,346,GA
1,87,383,TA
4,99,476,TA
5,84,364,TA
2,95,381,GA
1,90,362,TA
1,82,334,TA
2,100,417,TA
4,100,439,TA
1,80,368,TA
5,83,369,TA
1,96,352,TA
1,87,378,TA
4,87,405,GA
1,96,372,TA
5,87,383,TA
2,100,430,GA
5,86,400,TA
3,87,406,TA
2,81,325,GA
5,93,443,TA
1,96,390,TA
1,99,401,TA
2,95,424,GA
1,82,353,TA
2,82,298,GA
1,81,366,TA
2,83,395,GA
3,80,304,TA
3,88,361,TA
2,98,475,TA
1,82,313,TA
4,80,335,TA
3,99,449,TA
5,94,373,TA
1,85,347,TA
5,97,416,TA
4,90,381,TA
5,83,367,TA
2,87,377,GA
3,84,345,TA
1,80,356,TA
3,82,359,TA
5,84,370,TA
4,96,444,TA
4,97,409,TA
4,99,355,TA
3,95,420,TA
4,98,480,TA
3,100,401,TA
4,99,375,TA
2,84,345,GA
3,99,408,GA
3,81,419,TA
2,97,428,TA
1,98,412,TA
3,86,392,TA
3,81,344,GA
4,93,428,TA
4,98,428,TA
4,87,356,TA
5,99,436,TA
1,86,383,TA
3,85,353,TA
4,99,404,GA
3,95,408,TA
5,92,393,TA
5,83,326,TA
3,83,312,TA
3,85,371,TA
4,83,362,TA
10,80,345,TA
9,80,353,TA
9,96,383,TA
9,96,391,TA
7,91,389,TA
9,99,418,TA
6,95,370,TA
8,82,353,TA
10,81,377,TA
6,83,339,TA
6,89,346,TA
8,91,398,TA
7,85,348,TA
8,96,458,TA
10,100,484,TA
10,92,421,TA
9,82,362,TA
6,90,366,TA
7,83,360,TA
9,84,365,TA
8,96,412,TA
8,98,420,TA
9,97,432,TA
7,89,400,TA
9,85,365,TA
10,93,402,TA
9,83,364,TA
9,96,434,TA
5,85,414,TA
10,87,413,TA
6,85,387,TA
9,80,372,TA
8,87,393,TA
7,96,431,TA
6,85,382,TA
7,100,482,TA
10,88,358,TA
8,94,398,TA
6,83,348,TA
5,100,425,TA
10,84,349,TA
8,81,342,TA
6,83,360,TA
8,92,397,TA
6,80,352,GA
9,90,360,TA
9,94,427,TA
10,94,457,TA
7,82,370,TA
5,89,343,TA
10,91,370,TA
10,93,427,TA
7,81,349,TA
9,100,426,TA
6,84,333,TA
10,91,384,TA
10,99,453,TA
5,90,422,TA
5,90,407,TA
8,90,387,TA
8,96,417,TA
6,83,337,TA
6,96,425,TA
6,88,382,TA
10,80,368,TA
10,85,397,TA
6,95,451,TA
10,92,341,TA
6,84,353,TA
9,93,410,TA
7,80,337,TA
7,94,391,TA
8,92,425,TA
9,88,425,TA
10,85,368,TA
6,97,421,TA
9,98,406,TA
5,81,347,GA
8,98,404,TA
7,81,329,TA
5,87,378,TA
10,87,434,TA
9,81,340,TA
10,93,381,TA
8,99,451,TA
9,96,390,TA
8,99,388,GA
5,95,406,TA
9,84,363,TA
7,83,328,TA
7,83,309,TA
7,88,368,TA
6,97,432,TA
8,87,366,TA
6,83,375,TA
9,81,319,TA
9,80,354,TA
6,90,434,TA
7,94,405,TA
7,86,398,TA
5,83,356,TA
6,85,341,TA
9,92,362,TA
8,87,357,TA
7,88,406,TA
10,99,437,TA
7,97,418,TA
8,90,384,TA
10,88,351,TA
9,88,358,TA
9,87,355,TA
7,80,332,TA
8,84,355,TA
6,80,327,TA
9,85,381,TA
10,81,356,TA
8,95,440,TA
5,95,438,GA
10,85,336,TA
6,93,393,TA
10,93,413,TA
5,84,376,TA
10,80,314,TA
10,97,433,TA
9,93,380,TA
5,95,407,TA
6,83,317,TA
6,85,345,TA
5,83,393,TA
9,83,360,TA
10,85,379,TA
5,89,379,TA
5,81,321,TA
9,83,361,TA
9,100,411,TA
10,92,389,TA
7,82,365,TA
5,86,401,TA
8,90,366,TA
9,92,381,TA
10,80,325,TA
9,95,427,TA
10,98,395,TA
6,91,384,TA
9,84,379,TA
6,96,390,TA
7,91,378,TA
9,94,389,TA
6,100,424,TA
9,87,381,TA
7,95,403,TA
5,97,397,TA
6,94,384,TA
6,87,309,TA
9,91,386,TA
10,96,419,TA
8,100,352,TA
7,87,419,TA
9,89,423,TA
6,99,411,TA
7,88,375,TA
8,90,381,TA
6,95,356,TA
10,81,361,TA
10,81,365,TA
6,90,396,TA
5,93,358,TA
8,93,397,TA
7,80,314,TA
7,93,388,TA
6,85,353,TA
5,92,431,GA
7,95,349,TA
7,83,373,TA
8,98,395,TA
6,80,324,TA
9,83,342,TA
8,82,354,TA
9,92,409,TA
5,97,424,TA
6,98,417,TA
10,100,490,TA
7,83,357,TA
6,92,345,TA
5,87,438,TA
8,84,387,TA
7,93,392,TA
10,80,334,TA
6,92,411,TA
7,91,423,TA
7,80,332,TA
6,88,324,TA
5,85,394,TA
6,95,397,TA
8,83,318,TA
8,98,424,TA
7,80,278,TA
7,85,371,TA
10,98,405,TA
7,84,340,TA
6,95,398,TA
9,81,333,TA
7,96,447,TA
10,85,354,TA
9,100,461,TA
8,88,356,TA
10,82,385,TA
8,97,389,TA
7,84,369,TA
5,98,419,TA
6,94,389,GA
7,85,331,TA
7,89,372,TA
6,86,378,TA
8,89,373,TA
6,89,376,TA
6,94,452,TA
7,81,408,TA
5,96,396,TA
5,99,400,TA
7,92,356,TA
10,82,347,TA
5,96,436,TA
5,89,403,TA
10,82,360,TA
5,95,398,TA
9,85,429,TA
8,86,346,TA
8,84,393,TA
7,81,298,TA
7,86,398,TA
8,96,409,TA
7,81,339,TA
8,94,400,GA
10,85,355,TA
5,92,359,TA
10,89,389,TA
5,91,387,TA
8,99,392,TA
8,85,414,TA
8,90,314,TA
8,91,434,TA
7,100,467,TA
10,83,333,TA
7,92,417,TA
7,95,422,TA
9,84,372,TA
7,93,424,TA
8,82,344,TA
7,94,397,TA
10,94,358,TA
9,98,416,TA
5,90,368,TA
8,90,366,TA
5,97,444,TA
5,89,368,TA
10,94,344,TA
8,84,333,TA
8,92,424,TA
9,93,381,TA
6,90,376,TA
6,86,419,TA
10,100,414,TA
10,94,436,TA
10,80,351,TA
6,84,360,TA
6,99,384,TA
10,98,462,TA
7,95,405,TA
10,99,418,TA
7,88,394,TA
5,81,365,TA
5,81,328,GA
9,100,448,TA
8,96,433,TA
7,98,421,TA
6,90,392,TA
5,93,387,TA
10,98,431,TA
10,97,393,TA
7,91,359,TA
7,81,358,TA
7,95,425,TA
5,100,410,TA
8,86,345,TA
10,89,419,TA
6,93,400,TA
9,83,351,TA
6,85,379,TA
10,90,387,TA
10,100,421,TA
5,89,375,TA
6,85,364,TA
10,88,394,TA
7,89,374,TA
10,86,359,TA
5,91,365,GA
8,99,409,TA
7,89,362,TA
8,94,400,TA
7,96,409,GA
8,100,447,TA
7,86,341,GA
6,97,370,TA
7,91,361,TA
5,84,335,TA
7,84,358,TA
8,96,371,TA
10,83,346,TA
5,92,380,TA
5,99,413,GA
5,96,376,TA
7,96,417,TA
6,94,402,TA
5,86,392,TA
6,91,353,TA
9,80,325,TA
9,84,368,TA
7,93,354,TA
7,94,458,TA
5,100,378,TA
9,93,353,TA
10,80,301,TA
7,90,381,TA
5,87,360,TA
6,81,318,TA
5,99,391,TA
9,88,407,TA
8,83,365,TA
8,98,411,TA
8,93,394,TA
9,92,434,TA
5,83,393,TA
9,86,383,TA
8,89,369,TA
8,91,419,TA
10,85,329,TA
6,100,425,TA
7,90,374,TA
8,90,357,GA
9,92,402,TA
9,81,297,TA
10,100,431,TA
8,96,419,TA
9,100,454,TA
7,88,370,TA
8,98,432,TA
5,99,460,TA
10,98,466,GA
9,93,411,TA
9,94,423,TA
8,91,348,TA
5,92,363,GA
10,93,416,TA
8,83,354,TA
6,86,354,TA
9,81,375,TA
8,93,332,TA
7,92,417,TA
6,80,347,TA
5,85,313,TA
10,91,415,TA
6,86,339,TA
6,98,435,TA
5,80,351,TA
10,86,398,TA
9,85,323,TA
9,88,340,TA
6,95,387,TA
7,98,381,TA
5,93,409,TA
7,100,448,TA
6,99,413,TA
9,90,378,TA
9,98,488,TA
9,92,411,TA
8,86,391,TA
9,99,463,TA
9,100,438,TA
8,95,406,TA
8,84,363,TA
7,96,400,TA
5,93,395,TA
5,94,365,TA
7,86,363,TA
7,84,353,TA
10,100,465,TA
5,84,349,TA
8,96,403,TA
10,95,440,GA
8,80,337,TA
5,93,385,TA
8,97,383,TA
6,98,419,TA
5,85,355,TA
5,96,434,TA
7,87,350,TA
6,84,371,TA
8,96,430,TA
10,91,336,TA
7,94,414,TA
10,99,420,TA
10,83,331,TA
7,80,378,TA
8,90,389,TA
8,82,334,TA
6,94,373,TA
9,88,377,TA
8,100,473,TA
5,84,378,TA
10,96,383,TA
5,82,334,GA
8,95,404,TA
8,80,318,TA
6,80,309,TA
9,80,288,TA
8,100,433,TA
5,81,349,TA
9,85,378,TA
6,85,351,TA
7,92,373,TA
10,94,418,TA
7,97,402,TA
5,96,421,GA
7,81,293,TA
8,82,357,TA
9,80,309,TA
7,92,386,TA
10,84,352,TA
7,93,333,TA
8,93,449,TA
8,90,372,TA
8,83,369,TA
6,86,347,TA
7,81,318,TA
10,96,408,TA
9,80,309,GA
5,89,414,TA
6,99,447,TA
5,82,321,GA
10,88,326,TA
7,86,360,TA
5,98,436,TA
6,85,363,TA
6,92,409,TA
9,88,362,TA
9,99,407,TA
7,82,339,TA
7,92,386,TA
6,81,342,TA
9,81,286,TA
8,80,363,TA
10,90,392,TA
6,93,352,TA
8,80,333,TA
10,88,387,TA
5,94,378,TA
5,84,358,TA
10,86,406,TA
9,93,396,TA
10,88,396,TA
6,84,391,TA
10,95,431,TA
5,82,359,GA
5,99,479,TA
5,80,350,TA
8,90,394,TA
7,93,437,TA
5,84,367,TA
6,85,377,TA
10,87,378,TA
8,84,328,TA
10,86,376,TA
7,98,392,TA
6,85,361,TA
8,80,353,TA
7,82,343,TA
10,80,328,TA
5,89,379,TA
9,80,337,TA
6,84,365,TA
5,96,419,TA
8,83,351,TA
7,100,439,TA
10,81,334,TA
9,80,300,TA
7,89,397,TA
9,85,370,TA
6,88,363,TA
10,86,333,TA
5,84,390,TA
6,99,405,TA
8,95,395,TA
6,95,444,TA
9,97,388,TA
8,94,441,TA
9,88,344,TA
7,90,400,TA
8,92,370,TA
6,88,309,TA
7,85,418,TA
8,88,408,TA
9,91,401,TA
8,87,313,TA
8,82,341,TA
10,88,378,TA
7,89,393,TA
7,89,341,TA
10,95,467,TA
7,86,347,TA
10,90,404,TA
5,90,380,TA
5,99,446,TA
9,83,341,TA
8,95,392,TA
7,85,353,TA
8,80,329,TA
8,84,341,TA
10,100,428,TA
7,92,426,TA
7,83,357,TA
10,97,425,TA
7,90,357,TA
8,90,392,TA
7,84,328,TA
10,80,360,TA
7,96,422,TA
9,100,396,TA
6,81,362,TA
8,95,427,TA
8,85,334,TA
10,82,359,TA
10,94,466,TA
9,86,404,TA
8,91,403,GA
7,82,328,GA
6,84,333,GA
8,94,390,GA
10,96,483,TA
5,99,362,TA
9,81,350,TA
5,91,423,TA
5,91,384,TA
10,88,405,TA
9,83,352,TA
10,92,382,TA
8,100,422,TA
10,95,403,TA
5,92,416,TA
5,92,377,TA
8,85,386,TA
7,87,366,TA
