machine,task_num,link_num,recommend
3,95,390,TA
3,100,466,TA
2,96,408,TA
4,94,385,GA
1,98,404,TA
1,95,427,TA
4,81,328,TA
4,92,400,TA
4,93,412,TA
1,85,322,TA
2,93,394,GA
3,86,400,TA
3,80,307,TA
4,82,371,TA
5,92,429,GA
3,90,373,GA
1,92,369,TA
3,92,369,TA
2,92,410,GA
3,97,446,TA
3,94,349,TA
3,88,383,TA
3,94,448,GA
1,94,427,TA
1,85,375,TA
1,94,392,TA
3,87,394,TA
2,90,402,GA
5,92,399,TA
4,93,416,GA
1,87,348,TA
3,90,331,GA
3,85,372,TA
1,98,382,TA
2,94,331,TA
2,90,472,GA
3,95,402,GA
2,85,336,GA
2,100,415,GA
3,97,459,GA
2,96,379,TA
1,91,408,TA
5,97,469,TA
4,99,411,TA
3,84,352,GA
3,98,400,TA
3,87,364,TA
4,85,392,TA
2,95,428,TA
3,80,334,TA
1,91,428,TA
4,87,393,TA
2,98,400,GA
1,94,381,TA
3,94,370,GA
5,100,446,TA
5,91,426,TA
5,86,384,TA
3,80,328,TA
5,87,294,TA
2,91,413,GA
4,94,420,TA
4,89,345,TA
4,81,378,TA
4,89,379,TA
4,82,319,TA
3,94,333,TA
5,81,368,GA
4,99,354,TA
1,86,369,TA
4,88,361,TA
4,81,296,TA
4,81,384,TA
4,90,344,TA
1,92,379,TA
2,90,382,GA
3,96,383,TA
3,83,339,TA
2,88,406,TA
2,90,350,TA
5,83,333,TA
3,84,373,GA
3,88,317,GA
5,96,443,GA
4,89,401,TA
1,100,436,TA
3,81,382,GA
4,80,357,TA
1,82,353,TA
4,83,346,GA
3,99,441,TA
1,94,410,TA
1,88,401,TA
1,82,340,TA
4,85,313,TA
3,87,390,TA
1,92,421,TA
4,100,411,GA
4,99,426,GA
2,96,410,TA
4,98,414,TA
4,92,400,TA
1,96,375,TA
5,82,390,TA
3,83,354,TA
5,81,349,GA
4,98,391,TA
2,85,355,TA
3,95,421,TA
4,83,318,TA
2,92,385,GA
4,87,330,TA
5,98,421,TA
3,94,412,TA
4,87,360,TA
3,88,405,TA
4,88,362,TA
2,89,365,GA
2,82,336,GA
3,96,348,TA
2,93,372,GA
4,86,332,TA
4,95,437,TA
3,94,428,TA
2,83,360,TA
2,96,388,TA
4,89,365,TA
2,81,352,GA
1,98,400,TA
1,87,378,TA
3,87,385,GA
5,89,339,TA
2,96,435,TA
1,80,379,TA
2,99,422,GA
3,83,370,TA
2,98,424,GA
1,81,374,TA
2,94,377,GA
1,99,391,TA
2,87,349,TA
3,87,342,GA
4,81,311,TA
1,82,351,TA
4,85,361,GA
3,90,430,TA
4,91,354,TA
2,88,440,TA
2,100,423,GA
3,87,313,TA
1,84,350,TA
1,92,443,TA
3,91,427,TA
2,88,376,GA
2,82,372,GA
3,83,348,GA
2,91,394,TA
4,86,364,TA
4,82,354,TA
1,92,449,TA
4,96,423,TA
1,87,341,TA
1,81,325,TA
5,90,408,TA
4,90,404,TA
2,90,380,GA
1,98,418,TA
4,86,379,GA
3,97,414,TA
2,99,434,GA
4,97,409,TA
4,95,358,TA
3,92,373,TA
4,83,358,TA
5,90,370,TA
1,92,395,TA
4,85,387,GA
2,97,398,GA
1,95,428,TA
4,94,402,TA
5,87,396,TA
4,99,412,TA
1,100,436,TA
5,98,452,TA
5,100,421,TA
1,96,422,TA
4,83,371,GA
5,95,442,TA
5,82,364,TA
4,99,401,TA
1,91,336,TA
5,86,397,TA
2,81,330,GA
5,82,332,GA
3,92,340,TA
1,95,374,TA
3,92,387,TA
2,99,407,TA
1,81,345,TA
5,86,352,TA
3,100,383,TA
1,85,340,TA
5,91,374,TA
3,88,410,TA
4,89,400,TA
2,89,384,TA
2,85,367,TA
3,98,400,TA
5,93,417,TA
2,86,365,GA
4,86,321,TA
5,88,368,TA
4,96,413,GA
2,94,398,GA
3,89,376,TA
4,80,384,TA
2,88,419,GA
5,85,360,TA
4,81,331,TA
2,96,434,GA
4,89,342,TA
5,87,334,TA
3,81,327,TA
2,91,411,TA
2,100,465,GA
3,90,357,TA
5,93,396,TA
3,92,413,TA
1,82,354,TA
3,98,412,GA
2,83,330,GA
2,99,429,TA
2,96,377,TA
4,80,337,TA
2,85,401,GA
5,84,322,GA
5,85,381,TA
5,90,372,TA
4,93,401,TA
3,92,399,GA
2,91,378,GA
2,100,447,TA
2,86,357,TA
3,95,405,TA
5,80,325,TA
5,98,437,TA
3,90,364,GA
3,95,369,TA
2,83,369,TA
1,93,430,TA
1,85,405,TA
5,83,323,TA
3,91,386,TA
3,94,329,TA
4,95,439,TA
4,82,329,TA
3,80,331,TA
4,81,339,TA
2,92,428,GA
3,82,351,TA
4,89,322,TA
3,89,399,GA
5,83,367,TA
4,100,408,TA
3,98,432,TA
4,99,417,TA
3,99,472,TA
4,92,412,TA
1,97,395,TA
5,83,351,TA
3,90,413,TA
3,87,316,TA
1,100,473,TA
2,97,426,TA
3,96,398,TA
4,80,304,TA
4,89,405,TA
1,87,364,TA
3,83,369,GA
5,93,323,TA
3,96,411,GA
2,86,352,TA
1,88,334,TA
5,86,360,TA
5,94,437,TA
3,97,448,TA
4,95,452,TA
4,86,353,GA
4,91,398,TA
1,93,400,TA
4,80,295,TA
5,99,392,TA
5,99,375,TA
3,97,424,GA
1,80,307,TA
1,88,396,TA
1,90,358,TA
2,85,383,TA
1,96,446,TA
4,84,365,TA
4,100,448,TA
2,91,413,GA
4,100,414,TA
5,89,409,TA
1,91,337,TA
3,95,408,TA
5,93,421,TA
4,98,406,TA
5,83,334,TA
5,89,377,GA
5,98,418,TA
2,98,473,TA
3,89,400,GA
1,99,394,TA
2,94,407,GA
1,99,421,TA
4,80,344,TA
4,83,395,TA
1,84,383,TA
3,98,373,GA
2,85,403,GA
4,100,440,GA
2,81,345,GA
4,85,354,GA
4,85,359,GA
4,95,492,GA
3,84,360,GA
2,93,391,GA
4,83,384,GA
2,87,366,GA
5,83,339,GA
4,92,368,GA
2,89,446,GA
2,96,397,GA
2,80,292,GA
2,90,393,GA
2,83,347,GA
4,87,374,GA
3,95,385,GA
2,99,400,GA
2,89,419,GA
3,93,405,GA
2,82,308,GA
3,84,348,GA
3,91,381,GA
2,82,362,GA
2,97,426,GA
2,87,398,GA
2,91,468,GA
2,91,401,GA
3,82,366,GA
3,87,346,GA
2,95,381,GA
4,87,405,GA
2,100,430,GA
2,81,325,GA
2,95,424,GA
2,82,298,GA
2,83,395,GA
2,87,377,GA
2,84,345,GA
3,99,408,GA
3,81,344,GA
4,99,404,GA
6,80,352,GA
5,81,347,GA
8,99,388,GA
5,95,438,GA
5,92,431,GA
6,94,389,GA
8,94,400,GA
5,81,328,GA
5,91,365,GA
7,96,409,GA
7,86,341,GA
5,99,413,GA
8,90,357,GA
10,98,466,GA
5,92,363,GA
10,95,440,GA
5,82,334,GA
5,96,421,GA
9,80,309,GA
5,82,321,GA
5,82,359,GA
8,91,403,GA
7,82,328,GA
6,84,333,GA
8,94,390,GA
5,93,402,GA
8,88,425,GA
5,98,386,GA
5,82,337,GA
5,95,421,GA
6,99,397,GA
6,91,392,GA
8,80,305,GA
5,92,392,GA
5,97,410,GA
6,86,387,GA
7,86,341,GA
9,45,179,GA
10,77,337,GA
5,37,128,GA
5,34,158,GA
6,65,322,GA
5,44,176,GA
6,55,251,GA
6,67,306,GA
7,67,256,GA
5,34,117,GA
8,33,144,GA
6,52,227,GA
6,63,285,GA
6,39,156,GA
6,70,314,GA
7,35,119,GA
7,38,162,GA
7,67,247,GA
6,53,266,GA
8,71,346,GA
7,55,230,GA
5,55,211,GA
5,36,122,GA
5,46,185,GA
6,68,274,GA
8,52,192,GA
5,69,317,GA
7,28,107,GA
6,61,269,GA
6,75,304,GA
6,53,228,GA
5,38,122,GA
7,51,210,GA
7,48,158,GA
8,71,309,GA
5,80,314,GA
6,22,85,GA
6,64,317,GA
7,53,199,GA
6,28,89,GA
5,51,183,GA
5,65,277,GA
6,38,138,GA
10,76,276,GA
5,54,210,GA
5,54,231,GA
9,65,261,GA
7,58,256,GA
9,51,164,GA
5,36,154,GA
2,67,287,GA
3,64,225,GA
3,55,243,GA
2,59,288,GA
2,39,145,GA
2,62,270,GA
2,9,12,GA
3,60,277,GA
4,21,84,GA
4,21,67,GA
3,45,188,GA
4,62,278,GA
2,28,84,GA
2,6,10,GA
3,32,118,GA
2,18,64,GA
2,29,93,GA
4,49,220,GA
2,29,94,GA
4,28,103,GA
2,7,14,GA
2,48,189,GA
3,64,275,GA
3,49,191,GA
4,74,267,GA
2,26,92,GA
5,73,297,GA
2,56,210,GA
2,36,153,GA
2,41,172,GA
2,15,35,GA
4,70,276,GA
2,78,342,GA
2,37,156,GA
2,53,218,GA
2,38,173,GA
3,29,110,GA
3,33,118,GA
3,48,177,GA
3,78,336,GA
4,47,163,GA
4,35,117,GA
4,43,153,GA
2,61,236,GA
3,68,312,GA
2,61,222,GA
2,63,281,GA
3,71,304,GA
2,42,187,GA
5,64,253,GA
2,30,115,GA
3,31,101,GA
4,23,69,GA
4,28,113,GA
3,44,146,GA
3,80,344,GA
2,8,14,GA
3,46,200,GA
2,77,335,GA
2,41,166,GA
3,23,75,GA
3,35,152,GA
4,54,194,GA
2,32,102,GA
2,54,215,GA
5,23,64,GA
4,36,151,GA
2,14,39,GA
2,68,254,GA
2,7,5,GA
2,54,198,GA
4,53,261,GA
4,14,37,GA
2,55,245,GA
2,51,208,GA
4,50,202,GA
2,11,17,GA
3,78,327,GA
2,72,314,GA
5,28,99,GA
4,29,113,GA
5,46,181,GA
3,27,93,GA
2,54,212,GA
2,48,199,GA
5,63,221,GA
4,50,220,GA
3,29,91,GA
2,56,215,GA
2,70,260,GA
2,55,224,GA
2,65,295,GA
4,55,182,GA
3,7,8,GA
2,6,6,GA
3,54,214,GA
2,56,232,GA
2,27,123,GA
2,54,239,GA
3,32,120,GA
2,20,65,GA
2,70,314,GA
3,18,69,GA
3,47,197,GA
2,23,87,GA
2,31,142,GA
2,51,172,GA
2,51,204,GA
3,22,70,GA
3,49,222,GA
2,17,47,GA
3,52,235,GA
4,48,219,GA
2,57,195,GA
4,21,71,GA
3,20,51,GA
2,44,179,GA
2,80,351,GA
5,15,36,GA
3,57,236,GA
5,39,156,GA
2,59,228,GA
2,25,88,GA
2,19,59,GA
4,47,204,GA
4,34,160,GA
3,29,123,GA
2,44,152,GA
2,74,299,GA
2,74,295,GA
3,65,340,GA
2,21,78,GA
2,32,126,GA
4,75,292,GA
2,21,88,GA
3,65,264,GA
2,15,51,GA
2,16,48,GA
2,11,31,GA
2,28,108,GA
3,20,55,GA
2,8,10,GA
2,17,66,GA
2,37,156,GA
4,30,121,GA
4,22,95,GA
2,48,184,GA
2,27,86,GA
2,24,89,GA
2,53,221,GA
3,24,82,GA
3,4,0,GA
3,10,23,GA
3,45,194,GA
3,57,230,GA
3,30,140,GA
3,24,79,GA
2,64,256,GA
3,77,359,GA
2,13,41,GA
4,9,10,GA
5,58,267,GA
2,70,307,GA
5,57,249,GA
3,7,11,GA
4,50,207,GA
2,6,6,GA
4,69,277,GA
3,41,168,GA
3,80,319,GA
2,34,160,GA
5,32,106,GA
3,78,317,GA
2,74,334,GA
2,28,104,GA
2,17,47,GA
2,56,242,GA
2,45,148,GA
2,34,108,GA
3,29,108,GA
3,52,220,GA
2,17,46,GA
3,56,239,GA
3,24,77,GA
2,36,138,GA
2,67,290,GA
2,11,30,GA
3,74,334,GA
2,9,15,GA
4,50,189,GA
5,34,120,GA
3,8,8,GA
5,23,91,GA
2,45,180,GA
2,43,159,GA
2,14,54,GA
5,68,307,GA
4,53,175,GA
2,14,46,GA
3,51,219,GA
3,60,247,GA
4,78,326,GA
2,6,6,GA
2,80,356,GA
2,77,284,GA
2,35,124,GA
3,67,302,GA
2,64,242,GA
4,74,332,GA
2,37,131,GA
4,54,222,GA
2,74,318,GA
4,70,333,GA
2,23,108,GA
4,43,130,GA
3,65,271,GA
4,20,63,GA
2,54,196,GA
2,14,31,GA
2,68,242,GA
2,60,235,GA
5,22,64,GA
2,31,118,GA
2,60,244,GA
4,66,303,GA
4,42,193,GA
2,26,86,GA
4,62,258,GA
2,42,187,GA
2,6,7,GA
2,8,14,GA
5,39,129,GA
3,69,277,GA
3,35,158,GA
2,32,90,GA
2,24,93,GA
5,42,193,GA
2,44,125,GA
3,11,20,GA
3,28,70,GA
4,74,312,GA
3,52,198,GA
3,14,29,GA
2,54,260,GA
3,23,86,GA
2,29,118,GA
2,35,160,GA
2,72,273,GA
4,14,33,GA
4,32,100,GA
2,16,56,GA
3,52,207,GA
2,34,103,GA
4,25,100,GA
3,15,51,GA
5,53,210,GA
2,74,293,GA
2,16,64,GA
2,54,220,GA
2,7,12,GA
3,37,173,GA
5,52,238,GA
3,29,115,GA
2,16,33,GA
5,48,224,GA
2,65,272,GA
3,60,209,GA
3,17,51,GA
2,46,165,GA
2,10,23,GA
2,35,143,GA
2,14,39,GA
2,24,96,GA
2,9,14,GA
3,31,97,GA
4,40,157,GA
2,32,101,GA
3,40,169,GA
4,25,97,GA
2,17,57,GA
2,6,7,GA
2,36,144,GA
3,7,12,GA
2,8,17,GA
3,38,168,GA
3,26,100,GA
2,27,119,GA
3,24,95,GA
2,20,85,GA
3,26,79,GA
3,20,74,GA
2,14,33,GA
3,34,113,GA
3,38,166,GA
5,37,104,GA
2,24,83,GA
4,29,103,GA
